"Group","Nationality","30 Days Tourist Single","30 Days Tourist Multiple","60 Days Tourist Single","60 Days Tourist Multiple"
"Group 1","CV","180","186.3","270","240.3"
"Group 1","DZ","180","186.3","270","240.3"
"Group 1","EG","180","186.3","270","240.3"
"Group 1","IL","180","186.3","270","240.3"
"Group 1","IQ","180","186.3","270","240.3"
"Group 1","IR","180","186.3","270","240.3"
"Group 1","MR","180","186.3","270","240.3"
"Group 1","ST","180","186.3","270","240.3"
"Group 1","SY","180","186.3","270","240.3"
"Group 1","TN","180","186.3","270","240.3"
"Group 1","ZA","180","186.3","270","240.3"
"Group 2","AO","300","202.5","430","267.3"
"Group 2","BF","300","202.5","430","267.3"
"Group 2","BI","300","202.5","430","267.3"
"Group 2","BJ","300","202.5","430","267.3"
"Group 2","BW","300","202.5","430","267.3"
"Group 2","CD","300","202.5","430","267.3"
"Group 2","CG","300","202.5","430","267.3"
"Group 2","CI","300","202.5","430","267.3"
"Group 2","CM","300","202.5","430","267.3"
"Group 2","DJ","300","202.5","430","267.3"
"Group 2","ER","300","202.5","430","267.3"
"Group 2","ET","300","202.5","430","267.3"
"Group 2","GA","300","202.5","430","267.3"
"Group 2","GH","300","202.5","430","267.3"
"Group 2","GM","300","202.5","430","267.3"
"Group 2","GN","300","202.5","430","267.3"
"Group 2","GQ","300","202.5","430","267.3"
"Group 2","GW","300","202.5","430","267.3"
"Group 2","KM","300","202.5","430","267.3"
"Group 2","LR","300","202.5","430","267.3"
"Group 2","LS","300","202.5","430","267.3"
"Group 2","MA","300","202.5","430","267.3"
"Group 2","MG","300","202.5","430","267.3"
"Group 2","ML","300","202.5","430","267.3"
"Group 2","MU","300","202.5","430","267.3"
"Group 2","MW","300","202.5","430","267.3"
"Group 2","MZ","300","202.5","430","267.3"
"Group 2","NA","300","202.5","430","267.3"
"Group 2","NE","300","202.5","430","267.3"
"Group 2","RW","300","202.5","430","267.3"
"Group 2","SC","300","202.5","430","267.3"
"Group 2","SL","300","202.5","430","267.3"
"Group 2","SN","300","202.5","430","267.3"
"Group 2","SZ","300","202.5","430","267.3"
"Group 2","TD","300","202.5","430","267.3"
"Group 2","TG","300","202.5","430","267.3"
"Group 2","TZ","300","202.5","430","267.3"
"Group 2","UG","300","202.5","430","267.3"
"Group 2","ZM","300","202.5","430","267.3"
"Group 2","ZW","300","202.5","430","267.3"
"Group 3","BD","335","186.3","490","240.3"
"Group 4","GY","200","186.3","330","240.3"
"Group 4","JM","200","186.3","330","240.3"
"Group 4","PG","200","186.3","330","240.3"
"Group 5","LK","180","186.3","330","240.3"
"Group 5","NP","180","186.3","330","240.3"
"Group 6","AD","160","260","210","290"
"Group 6","AE","160","260","210","290"
"Group 6","AI","160","260","210","290"
"Group 6","AL","160","260","210","290"
"Group 6","AM","160","260","210","290"
"Group 6","AR","160","260","210","290"
"Group 6","AT","160","260","210","290"
"Group 6","AU","160","260","210","290"
"Group 6","AW","160","260","210","290"
"Group 6","AZ","160","260","210","290"
"Group 6","BA","160","260","210","290"
"Group 6","BB","160","260","210","290"
"Group 6","BE","160","260","210","290"
"Group 6","BG","160","260","210","290"
"Group 6","BN","160","260","210","290"
"Group 6","BO","160","260","210","290"
"Group 6","BR","160","260","210","290"
"Group 6","BS","160","260","210","290"
"Group 6","BY","160","260","210","290"
"Group 6","BZ","160","260","210","290"
"Group 6","CA","160","260","210","290"
"Group 6","CH","160","260","210","290"
"Group 6","CK","160","260","210","290"
"Group 6","CL","160","260","210","290"
"Group 6","CO","160","260","210","290"
"Group 6","CR","160","260","210","290"
"Group 6","CU","160","260","210","290"
"Group 6","CY","160","260","210","290"
"Group 6","CZ","160","260","210","290"
"Group 6","DE","160","260","210","290"
"Group 6","DK","160","260","210","290"
"Group 6","DM","160","260","210","290"
"Group 6","DOM","160","260","210","290"
"Group 6","EC","160","260","210","290"
"Group 6","EE","160","260","210","290"
"Group 6","ES","160","260","210","290"
"Group 6","FI","160","260","210","290"
"Group 6","FJ","160","260","210","290"
"Group 6","FM","160","260","210","290"
"Group 6","FR","160","260","210","290"
"Group 6","GB","160","260","210","290"
"Group 6","GD","160","260","210","290"
"Group 6","GE","160","260","210","290"
"Group 6","GR","160","260","210","290"
"Group 6","GT","160","260","210","290"
"Group 6","HN","160","260","210","290"
"Group 6","HR","160","260","210","290"
"Group 6","HT","160","260","210","290"
"Group 6","HU","160","260","210","290"
"Group 6","IE","160","260","210","290"
"Group 6","IS","160","260","210","290"
"Group 6","IT","160","260","210","290"
"Group 6","JO","160","260","210","290"
"Group 6","JP","160","260","210","290"
"Group 6","KE","160","260","210","290"
"Group 6","KG","160","260","210","290"
"Group 6","KH","160","260","210","290"
"Group 6","KI","160","260","210","290"
"Group 6","KN","160","260","210","290"
"Group 6","KR","160","260","210","290"
"Group 6","KY","160","260","210","290"
"Group 6","KZ","160","260","210","290"
"Group 6","LA","160","260","210","290"
"Group 6","LC","160","260","210","290"
"Group 6","LI","160","260","210","290"
"Group 6","LT","160","260","210","290"
"Group 6","LU","160","260","210","290"
"Group 6","LV","160","260","210","290"
"Group 6","MC","160","260","210","290"
"Group 6","MD","160","260","210","290"
"Group 6","ME","160","260","210","290"
"Group 6","MH","160","260","210","290"
"Group 6","MK","160","260","210","290"
"Group 6","MN","160","260","210","290"
"Group 6","MS","160","260","210","290"
"Group 6","MT","160","260","210","290"
"Group 6","MY","160","260","210","290"
"Group 6","NI","160","260","210","290"
"Group 6","NL","160","260","210","290"
"Group 6","NO","160","260","210","290"
"Group 6","NR","160","260","210","290"
"Group 6","NU","160","260","210","290"
"Group 6","PA","160","260","210","290"
"Group 6","PE","160","260","210","290"
"Group 6","PH","160","260","210","290"
"Group 6","PL","160","260","210","290"
"Group 6","PS","160","260","210","290"
"Group 6","PT","160","260","210","290"
"Group 6","PW","160","260","210","290"
"Group 6","RO","160","260","210","290"
"Group 6","RS","160","260","210","290"
"Group 6","RU","160","260","210","290"
"Group 6","SB","160","260","210","290"
"Group 6","SE","160","260","210","290"
"Group 6","SG","160","260","210","290"
"Group 6","SI","160","260","210","290"
"Group 6","SK","160","260","210","290"
"Group 6","SM","160","260","210","290"
"Group 6","SR","160","260","210","290"
"Group 6","SV","160","260","210","290"
"Group 6","TC","160","260","210","290"
"Group 6","TJ","160","260","210","290"
"Group 6","TL","160","260","210","290"
"Group 6","TO","160","260","210","290"
"Group 6","TT","160","260","210","290"
"Group 6","TV","160","260","210","290"
"Group 6","TW","160","260","210","290"
"Group 6","UA","160","260","210","290"
"Group 6","US","160","260","210","290"
"Group 6","UY","160","260","210","290"
"Group 6","UZ","160","260","210","290"
"Group 6","VA","160","260","210","290"
"Group 6","VC","160","260","210","290"
"Group 6","VE","160","260","210","290"
"Group 6","VU","160","260","210","290"
"Group 6","WS","160","260","210","290"
"Group 7","ID","170","270","220","300"
"Group 7","IN","170","270","220","300"
"Group 7","MM","170","270","220","300"
"Group 7","TH","170","270","220","300"
"Group 7","VN","170","270","220","300"
